countrycode,countryname,cluster,proba_0,proba_1,proba_2,proba_3,proba_4,proba_5,proba_6,dist_to_centroid_euclid,dist_to_centroid_mahalanobis
KNA,Saint Kitts and Nevis,2,0.028237478753477038,0.0,0.9717624454536602,0.0,7.579286235037179e-08,3.0568044109950566e-86,0.0,1.2150809144548498,3.1311742883028817
KOR,"Korea, South",2,0.002033320188532984,0.0,0.9979666798073071,0.0,4.1600420878835805e-12,2.595763435728606e-165,0.0,0.6479093031104147,2.1963528069833
KWT,Kuwait,2,0.056009873504119435,0.0,0.9431374024194695,0.0,0.0008527240764111442,3.965002267268548e-86,0.0,1.9869583707950582,3.204211082433531
LAO,Laos,4,5.447280380383585e-06,0.0,8.976925908013803e-104,0.0,0.9999945527196198,6.4004766490564234e-34,0.0,2.4444491361438696,3.7892623093189015
LBN,Lebanon,6,5.174678141151117e-56,0.0,8.092224291757714e-70,0.0,9.747132721900533e-44,6.411174462124963e-172,1.0,2.255850104172312,1.99998573625031
LBR,Liberia,5,3.9320537169814206e-17,0.0,6.858596056777343e-139,0.0,3.032450290174745e-08,0.9999999696754971,0.0,0.7550269045660817,3.160271564647657
LBY,Libya,4,1.2992894630617981e-31,0.0,1.0799691863610209e-10,0.0,0.9999999998920028,6.928127094587487e-58,0.0,2.8518617987440176,5.910493076109288
LCA,Saint Lucia,0,0.9997159178227116,0.0,0.0002443980020843078,0.0,3.9684175204238875e-05,3.548838900952796e-55,0.0,1.2815555720064378,2.54874465935312
LKA,Sri Lanka,0,0.9229065111046921,0.0,0.07648528032954015,0.0,0.0006082085657676336,2.6961921168552094e-83,0.0,1.5223089291269787,2.7310631329154624
LSO,Lesotho,5,1.0056225674303938e-24,0.0,5.358469461851496e-172,0.0,1.1660369747619174e-17,1.0,0.0,2.187357204570701,3.161918631313884
LTU,Lithuania,0,0.7558581040376424,0.0,0.24414181149319059,0.0,8.44691670923892e-08,1.3832697684374889e-160,0.0,1.265101310541739,2.3927121501797974
LUX,Luxembourg,0,0.9999961101361441,0.0,5.80092969596144e-18,0.0,3.889863856032174e-06,1.559871166525641e-53,0.0,2.113401308280933,4.383581029411795
LVA,Latvia,0,0.9999809272639535,0.0,1.890454282805349e-05,0.0,1.6819321839181354e-07,3.5778250258046786e-116,0.0,1.483724919345683,2.6990541211358834
MAC,Macau,4,0.00247795276057331,0.0,3.3374868559032713e-15,0.0,0.9975220472394235,2.4060119899504164e-64,0.0,1.4329786374618203,3.6094240853412347
MAR,Morocco,0,0.9999920828789065,0.0,4.895757890924673e-19,0.0,7.917121093580385e-06,7.026843134372402e-107,0.0,1.7864668851343117,4.140149099867607
MDA,Moldova,0,0.9963988383160967,0.0,7.212952935270213e-15,0.0,0.0036011616838961032,4.4943811234660064e-98,0.0,1.7202504755717305,3.0004104323724095
MDG,Madagascar,4,0.00018545633870938014,0.0,2.4442034940609156e-11,0.0,0.9998145436368487,9.477896549383762e-79,0.0,2.389487384365632,3.8409310666150143
MDV,Maldives,0,0.5372818146123506,0.0,0.4626649651707041,0.0,5.322021694543829e-05,6.260606212442229e-106,0.0,0.9113409596976226,1.612646238674256
MEX,Mexico,0,0.999425130425061,0.0,0.000574812831601229,0.0,5.6743337765183444e-08,1.615258145050357e-105,0.0,1.8967178893110535,2.8642938491180177
MHL,Marshall Islands,4,3.533583572280802e-16,0.0,7.227996237381078e-20,0.0,0.9999999999999997,1.385039417368404e-44,0.0,2.0534190977361737,2.770436304650821
MKD,North Macedonia,0,0.9819649289821621,0.0,2.3848063833493837e-40,0.0,0.018035071017838036,5.289544924350941e-58,0.0,1.5200033715877892,4.110188774708331
MLI,Mali,4,1.2266296109584075e-07,0.0,1.9552291186064954e-27,0.0,0.9999998773370389,3.8988862885496424e-36,0.0,1.249953172290474,2.7285374475540136
MLT,Malta,6,2.9011274980830405e-29,0.0,4.774700561210839e-160,0.0,1.275615813053685e-53,7.701719008475461e-131,1.0,3.2855861475098513,1.999998211756681
MMR,Burma,4,4.311859370791373e-08,0.0,1.1766691016513376e-37,0.0,0.9999999568813771,2.922089675252228e-14,0.0,1.499653317171954,3.722482938873981
MNE,Montenegro,0,0.999419826645194,0.0,1.1595733037339083e-20,0.0,0.000580173354806004,6.916260378998353e-45,0.0,1.1412228014420425,3.0328682544953964
MNG,Mongolia,0,0.9999532017026278,0.0,1.5091136613366055e-10,0.0,4.679814646085935e-05,3.447171855144663e-116,0.0,1.462988442168375,2.2359636989800977
MOZ,Mozambique,4,0.0005235627357647479,0.0,1.03108492923319e-23,0.0,0.9994764372642353,1.733692771881279e-45,0.0,1.0253041059205281,2.9889152848540377
MRT,Mauritania,4,5.9561473143429454e-08,0.0,4.2255165769292594e-27,0.0,0.9999999404385269,3.518477036450127e-44,0.0,1.7775993716495284,2.2040012998468477
MUS,Mauritius,2,0.006518615003266093,0.0,0.9934813839309415,0.0,1.065792454579107e-09,2.608139754339081e-147,0.0,0.7482373762298207,2.131113225557059
MWI,Malawi,4,0.0008676707455107598,0.0,4.6483757832955656e-55,0.0,0.9991323292544892,1.5367536240170138e-40,0.0,1.5916075241927032,2.9138025752363155
MYS,Malaysia,0,0.9999999231142469,0.0,4.822596316838353e-11,0.0,7.683752716768761e-08,2.43058282010286e-152,0.0,2.1366719585780114,3.491471951162133
NAM,Namibia,0,0.9941113717833964,0.0,1.8673772830241716e-05,0.0,0.005869954443773334,3.716169058089065e-81,0.0,1.1805029174039123,2.385160298743194
NER,Niger,5,1.0842407522876902e-15,0.0,7.511797886112919e-86,0.0,4.2028906615089904e-07,0.9999995797109328,0.0,0.9816527238508148,3.158484943581378
NGA,Nigeria,4,6.293159603729296e-13,0.0,7.901998883048279e-30,0.0,0.9999999999993707,3.4061397114237046e-37,0.0,1.5927786043303922,3.3210825660473193
NIC,Nicaragua,0,0.9999999989861541,0.0,6.1558420783658126e-12,0.0,1.007690093430712e-09,2.868933378424387e-79,0.0,1.7690746124936119,3.5583416131951635
NLD,Netherlands,2,1.5401996472548746e-08,0.0,0.9999999845762738,0.0,2.172994220423941e-11,4.526057696572906e-90,0.0,0.7537849141688223,2.644232790037224
NOR,Norway,2,3.869596268760543e-06,0.0,0.9999961303872987,0.0,1.643236548431212e-11,2.982397274119265e-161,0.0,0.9608100329337922,3.155668530644481
NPL,Nepal,4,3.7421643297821282e-06,0.0,1.4965229472345273e-58,0.0,0.9999962578356703,6.88975098338426e-25,0.0,1.1151751683541418,2.435331898810168
NZL,New Zealand,2,0.00012173619642493841,0.0,0.9998782638035738,0.0,1.3037383300835783e-15,2.2599094333800794e-186,0.0,1.7444940381738478,2.6958379423311603
OMN,Oman,0,0.9995156792421663,0.0,0.00048398617911262816,0.0,3.3457872113792935e-07,2.1067941330883716e-99,0.0,1.2629351742149113,2.20551493765263
PAK,Pakistan,4,1.3342132125256165e-07,0.0,3.091751844995006e-22,0.0,0.9999998665786787,5.281531574792129e-37,0.0,1.6124074802380046,2.634756171652166
PAN,Panama,0,0.9999999968143638,0.0,7.579234837890448e-12,0.0,3.178056743804997e-09,1.6256841253027092e-79,0.0,1.5110977410344577,2.5451602222954564
PER,Peru,0,0.9999991639629533,0.0,1.0494369930135819e-10,0.0,8.359321031450663e-07,2.598647130212042e-129,0.0,1.376888519867312,2.0101497172444103
PHL,Philippines,0,0.9995957868550223,0.0,8.317504384873721e-05,0.0,0.00032103810112897217,6.505003724098247e-89,0.0,1.5560208129146598,3.1318332219067484
PNG,Papua New Guinea,4,0.24393623021796038,0.0,6.682927604354688e-17,0.0,0.7560637697820396,1.3047675437162507e-42,0.0,1.133030106981466,2.478210884977387
POL,Poland,2,0.14988663539758848,0.0,0.8501133328328918,0.0,3.176951960258496e-08,5.1856908435218606e-136,0.0,0.8456530500550714,3.067922283110818
PRT,Portugal,2,8.684233221346615e-18,0.0,1.0,0.0,3.664374958351976e-18,1.998963779365076e-107,0.0,1.41981565763534,3.120473471232042
PRY,Paraguay,0,0.9326788602208006,0.0,1.1508475506900144e-20,0.0,0.06732113977919932,2.1774520861923858e-82,0.0,1.865969177408103,2.768197775271874
QAT,Qatar,0,0.9999724309510057,0.0,4.032362088373477e-06,0.0,2.3536686905854835e-05,1.1291088073881327e-82,0.0,1.327369166665384,2.896766468211763
ROU,Romania,2,0.014178391651167773,0.0,0.985819915777602,0.0,1.6925712299634676e-06,9.547282763976534e-133,0.0,0.9165427162326193,2.665483514344327
RUS,Russia,0,0.9999994818005772,0.0,3.341523100164154e-15,0.0,5.181994195574021e-07,2.2456170943176324e-80,0.0,1.2519534031444197,2.3667566380016587
RWA,Rwanda,0,0.9999995669405705,0.0,1.9872767480973975e-39,0.0,4.3305942978002383e-07,2.174883772709643e-40,0.0,2.969875217731469,4.278227239270506
SAU,Saudi Arabia,0,0.9999027071448853,0.0,8.602953331383162e-09,0.0,9.728425216127882e-05,1.6090351470395905e-107,0.0,0.8315755175765335,2.783473082729745
SDN,Sudan,6,4.8350079930440996e-55,0.0,1.267228126555449e-93,0.0,3.70243544154874e-39,1.0846702182461791e-275,1.0,3.995965490678816,1.9999870284751222
SEN,Senegal,4,3.866407234278475e-06,0.0,1.7450812913661646e-31,0.0,0.9999961335927657,1.705790541554246e-50,0.0,1.274304358600666,2.5186190646620217
SGP,Singapore,2,7.582104690392241e-09,0.0,0.9999999914816002,0.0,9.362952535504012e-10,5.818626286294321e-119,0.0,1.3395678125909276,3.359323858025244
SLB,Solomon Islands,4,0.005939602885931246,0.0,1.5002729552144985e-29,0.0,0.9940603971140686,1.5539079712705333e-39,0.0,1.0114087108161287,1.2875497684239392
SLE,Sierra Leone,5,4.981647532747585e-15,0.0,4.353634356010403e-118,0.0,0.0008367165053689192,0.9991632834946261,0.0,1.520194782701307,3.1621740717631273
SLV,El Salvador,2,0.0031708322906424365,0.0,0.9968291551454204,0.0,1.2563937007506445e-08,2.5019368396080466e-132,0.0,1.1404813311114057,2.6424409293686426
SOM,Somalia,3,2.350626535989354e-52,0.0,4.467845833271419e-92,1.0,3.4338359740098456e-23,9.611986540031602e-207,0.0,3.915319336604695,2.4494867878170283
SRB,Serbia,0,0.999999623181722,0.0,1.2666901392465865e-14,0.0,3.7681826564849855e-07,6.73360168880653e-148,0.0,1.3065403243495137,4.383938788746428
STP,Sao Tome and Principe,4,2.6712754823109316e-08,0.0,2.1251690519629473e-94,0.0,0.9999999732872448,1.7571194499458943e-30,0.0,1.4833052833806184,4.373274327966827
SUR,Suriname,1,7.366581596439314e-33,1.0,3.825551781217569e-123,0.0,6.278915893626464e-44,5.0884949737185085e-34,0.0,2.7932279669764792,2.449487209983506
SVK,Slovakia,2,0.0025639872913353072,0.0,0.997436012663249,0.0,4.541612273864568e-11,1.1742370521842663e-168,0.0,0.9962753006443248,2.872437929252191
SVN,Slovenia,2,3.79340744802228e-05,0.0,0.9999620658615908,0.0,6.39290613629466e-11,3.5508053341103473e-162,0.0,1.0675060171516677,3.1679683562248635
SWE,Sweden,2,6.372015241385218e-08,0.0,0.9999999362754164,0.0,4.431480575031209e-12,2.7382007210969576e-162,0.0,1.1796969445987906,2.7128541294101973
SWZ,Eswatini,4,5.302449768826753e-07,0.0,6.491344890170953e-39,0.0,0.9999994697550231,3.1904066911385823e-31,0.0,1.3806504737346996,2.9520094900941487
SYC,Seychelles,0,0.9999999961975579,0.0,1.4350171200980419e-09,0.0,2.367425011635349e-09,8.381133572572976e-90,0.0,1.5518837874694975,3.2518502754360137
SYR,Syria,1,1.3471548309559225e-131,1.0,3.9705114268722945e-36,0.0,3.012594869833672e-48,1.7816232781701877e-154,0.0,3.6454887845425463,2.4494882276691765
TCD,Chad,3,1.496367084142933e-21,0.0,2.756851689595072e-31,0.9999999812471396,1.8752860705069548e-08,6.094793177720904e-58,0.0,1.479160276285277,2.4494702599861933
TGO,Togo,4,3.4764475690027426e-06,0.0,4.130053296520945e-44,0.0,0.999996523552431,4.489392710110805e-25,0.0,0.996610805409119,2.5355508333352996
THA,Thailand,2,1.1164704117488582e-05,0.0,0.999988835295779,0.0,1.0393770482858643e-13,1.116262803556207e-161,0.0,1.5005433403697486,2.369115154516703
TJK,Tajikistan,4,1.857718638755237e-05,0.0,4.6277781775981354e-39,0.0,0.9999814228136125,9.660859210372923e-51,0.0,1.4279124108467205,2.351365919140232
TKM,Turkmenistan,4,7.355621157633329e-07,0.0,2.9021060604423416e-26,0.0,0.9999992644378844,5.595283309725697e-31,0.0,0.6924774172373391,1.9243663127253836
TLS,Timor-Leste,1,2.2664397048171256e-45,1.0,2.8789076082789345e-113,0.0,1.3211654663619436e-54,1.2093828482839896e-102,0.0,3.044570123020094,2.4494872110445183
TON,Tonga,0,0.9999972160417517,0.0,4.838269112315937e-09,0.0,2.7791199789466115e-06,1.258232525162926e-76,0.0,1.9099935212331673,4.177132632207323
TTO,Trinidad and Tobago,2,0.07568171050150016,0.0,0.9243182134207303,0.0,7.607776972864373e-08,3.957288512212796e-124,0.0,0.8507621673390579,2.5228340650452687
TUN,Tunisia,0,0.9843456746964446,0.0,0.015653596025852375,0.0,7.292777031061463e-07,2.26291806183046e-115,0.0,1.1607660368810557,2.8005250702623115
TUR,Turkey (Turkiye),2,0.0001070618451656466,0.0,0.9998929183198937,0.0,1.9834940856955153e-08,8.78156213253459e-128,0.0,0.8060211022730158,3.1570025476353827
TZA,Tanzania,4,1.940615992675977e-05,0.0,1.0145051737043859e-23,0.0,0.9999805938400729,2.5503860759612832e-16,0.0,0.8776403293467819,3.2612135512446163
UGA,Uganda,4,0.18322539134219845,0.0,8.495069795040368e-23,0.0,0.8167746086578015,5.699452671230567e-43,0.0,1.2486477659041115,2.3698785193733896
UKR,Ukraine,6,3.864271255485597e-58,0.0,0.0,0.0,6.195607806359364e-83,0.0,1.0,3.8193395805516603,1.9999981499051183
URY,Uruguay,0,0.962553802199095,0.0,0.03742957452752431,0.0,1.6623273380442832e-05,8.404463096013834e-111,0.0,1.113208101175534,2.0220509690458743
USA,United States,0,0.9999999986933645,0.0,1.4108478462123816e-14,0.0,1.3066213010242622e-09,1.3427103798612632e-122,0.0,2.252700642725023,3.7597234772300574
UZB,Uzbekistan,4,0.002588581264372946,0.0,2.385381472892929e-64,0.0,0.997411418735627,1.168712539158488e-30,0.0,1.4451684760363896,2.4106709943273072
VCT,Saint Vincent and the Grenadines,2,0.018874219241515236,0.0,0.9811256091538673,0.0,1.7160461713452473e-07,6.006082494199699e-114,0.0,1.0706184994056451,2.7905329095043476
VEN,Venezuela,1,6.780598058583e-40,1.0,1.1471787596723897e-71,0.0,2.2064241539418764e-33,3.771339902413082e-123,0.0,2.8329537459197756,2.4494867105335323
VNM,Vietnam,0,0.9999997378824795,0.0,6.893733470156176e-10,0.0,2.614281470692272e-07,4.399049417231257e-136,0.0,1.885882393366255,2.4173281514739644
VUT,Vanuatu,0,0.9956949814984575,0.0,0.0042232273107512715,0.0,8.179119079131454e-05,2.4301807171371005e-75,0.0,0.8296512023960748,2.7244009036018917
WSM,Samoa,0,0.9292179354363443,0.0,0.07075743135320677,0.0,2.4633210448965416e-05,6.290739942041081e-107,0.0,1.572263471994406,2.86324161014153
YEM,Yemen,3,7.395250853405815e-23,0.0,2.2559539333830995e-34,0.9999999999967564,3.2451202409955138e-12,9.361923041929628e-29,0.0,1.3684872507203258,2.449472175213641
ZAF,South Africa,0,0.9996314021326975,0.0,9.95195745523307e-05,0.0,0.0002690782927500839,6.057656157870391e-86,0.0,0.6215283202122512,1.8197972857585805
ZMB,Zambia,0,0.9877474976958318,0.0,5.630845278438436e-38,0.0,0.012252502304168484,3.879095089053284e-25,0.0,2.5132608544931734,4.8474771730554345
ZWE,Zimbabwe,1,4.0176728391979784e-47,1.0,2.3408406113844278e-124,0.0,4.237504501964241e-72,0.0,0.0,4.373223417242117,2.4494891694638055
